SALE TYPE,PROPERTY TYPE,CITY,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,Mobile/Manufactured Home,Algona,98001,399950.0,3.0,2.0,Algona,1484.0,14400.0,1983.0,2.0,270.0,47.2776242,-122.2554951,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,809950.0,3.0,2.0,Auburn,1857.0,5484.0,2023.0,2.0,436.0,47.338365,-122.270606,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,570000.0,4.0,2.0,West Hill,1250.0,7200.0,1968.0,2.0,456.0,47.3371473,-122.2826137,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Algona,98001,385000.0,3.0,2.0,Algona,1260.0,12400.0,1930.0,3.0,306.0,47.279455,-122.2569946,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,685000.0,3.0,3.0,West Hill,2062.0,13233.0,1988.0,4.0,332.0,47.3206547,-122.2720557,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,650000.0,3.0,2.0,Lake Geneva,1470.0,9754.0,1963.0,4.0,442.0,47.287538,-122.2778967,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,899950.0,4.0,2.5,West Hill,2860.0,6022.0,2015.0,4.0,315.0,47.3075769,-122.2647344,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,549000.0,3.0,2.5,West Hill,1560.0,192000.0,2004.0,4.0,352.0,47.3341591,-122.2736863,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Mobile/Manufactured Home,Algona,98001,400000.0,3.0,2.0,Algona,1904.0,10000.0,1978.0,5.0,210.0,47.2889613,-122.2531046,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,484995.0,3.0,1.0,West Hill,870.0,7227.0,1965.0,6.0,557.0,47.3419725,-122.281078,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,1425000.0,3.0,3.5,West Hill,2540.0,24480.0,2013.0,6.0,561.0,47.2704304,-122.2886148,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,550000.0,3.0,2.0,West Hill,1040.0,14850.0,1963.0,6.0,529.0,47.3191868,-122.2672075,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,575950.0,3.0,2.0,Federal Way,1570.0,8023.0,1987.0,6.0,367.0,47.3326011,-122.261358,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,549950.0,3.0,1.5,Jovita Heights,1290.0,9600.0,1968.0,6.0,426.0,47.2884197,-122.2706374,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,789000.0,4.0,2.5,Auburn,2510.0,8965.0,2002.0,6.0,314.0,47.3179122,-122.2586824,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,530000.0,3.0,2.0,Jovita Heights,1312.0,10234.0,1968.0,7.0,404.0,47.2874699,-122.2706831,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Algona,98001,540000.0,3.0,3.0,Algona,1630.0,8000.0,1992.0,7.0,331.0,47.284594,-122.2538085,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Algona,98001,349900.0,4.0,2.0,Algona,2678.0,16180.0,1946.0,7.0,131.0,47.2816837,-122.2539554,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,470000.0,3.0,1.0,Auburn,1370.0,15000.0,1960.0,7.0,343.0,47.3166844,-122.2770514,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,425000.0,2.0,1.0,Auburn,1110.0,7840.0,1925.0,7.0,383.0,47.3110776,-122.2411553,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,669950.0,3.0,2.5,West Hill,1919.0,9951.0,1988.0,8.0,349.0,47.3234172,-122.2716115,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,575900.0,3.0,2.0,Federal Way,1690.0,20473.0,1979.0,8.0,341.0,47.3346477,-122.2872986,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Federal Way,98001,735000.0,5.0,2.5,Federal Way,3597.0,4972.0,2006.0,8.0,204.0,47.3002511,-122.2824755,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,675000.0,4.0,2.5,Star Lake,2050.0,3575.0,2004.0,9.0,329.0,47.3524752,-122.2941008,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,585000.0,3.0,2.0,Jovita Heights,1530.0,7200.0,1978.0,9.0,382.0,47.3355856,-122.2912247,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Algona,98001,279900.0,4.0,2.0,Algona,1240.0,14000.0,1930.0,11.0,226.0,47.2918565,-122.2547136,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,950000.0,3.0,2.5,Star Lake,2640.0,37242.0,1993.0,11.0,360.0,47.3513643,-122.2685503,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,590000.0,3.0,2.0,Jovita Heights,1540.0,16001.0,1994.0,12.0,383.0,47.300099,-122.2659548,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,439950.0,3.0,1.0,Auburn,1050.0,9600.0,1962.0,13.0,419.0,47.3435882,-122.2837885,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,899000.0,3.0,2.5,West Hill,3300.0,39255.0,1985.0,14.0,272.0,47.3183041,-122.2673759,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,780000.0,5.0,2.5,Jovita,2660.0,9550.0,2006.0,14.0,293.0,47.3437658,-122.2692912,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,724777.0,3.0,2.5,Auburn,2052.0,35100.0,1996.0,14.0,353.0,47.3158365,-122.2648748,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,1650000.0,3.0,3.5,Auburn,3515.0,43203.0,1983.0,14.0,469.0,47.3207517,-122.2884588,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,625000.0,4.0,2.0,West Hill,1800.0,7280.0,1974.0,14.0,347.0,47.3322774,-122.2773972,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Federal Way,98001,729000.0,4.0,2.5,Federal Way,2890.0,4874.0,2006.0,14.0,252.0,47.2998516,-122.2854539,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,625000.0,3.0,1.0,Jovita Heights,1430.0,18480.0,1952.0,14.0,437.0,47.2731741,-122.2716712,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,980000.0,4.0,2.5,West Hill,2789.0,22860.0,2007.0,17.0,351.0,47.3522721,-122.2908248,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,599000.0,4.0,2.0,West Hill,2110.0,17160.0,1979.0,19.0,284.0,47.3002439,-122.2679123,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,848998.0,5.0,3.0,Auburn,2832.0,7200.0,1988.0,20.0,300.0,47.3457516,-122.2871938,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,570000.0,3.0,2.0,Lake Geneva,1150.0,9559.0,1962.0,21.0,496.0,47.2880153,-122.2773259,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,470000.0,3.0,1.0,Lake Geneva,920.0,16090.0,1962.0,21.0,511.0,47.2945306,-122.2835201,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,719000.0,5.0,2.5,West Hill,2880.0,5485.0,2009.0,21.0,250.0,47.2648401,-122.2923316,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Algona,98001,674900.0,6.0,2.5,Auburn,3082.0,10500.0,1939.0,21.0,219.0,47.2910209,-122.2527742,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,739950.0,4.0,2.5,West Auburn,2880.0,6122.0,2001.0,21.0,257.0,47.2595892,-122.2875732,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Mobile/Manufactured Home,Algona,98001,425000.0,3.0,2.0,Algona,1344.0,8000.0,1979.0,22.0,316.0,47.2776427,-122.2544905,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,1795000.0,7.0,5.5,Lake Geneva,8300.0,22609.0,2007.0,22.0,216.0,47.2915598,-122.2857871,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,539950.0,3.0,1.5,Federal Way,1460.0,9600.0,1966.0,23.0,370.0,47.2881957,-122.2706567,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,859990.0,5.0,3.0,Auburn,2741.0,4987.0,2024.0,26.0,314.0,47.3075061,-122.2726993,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,869990.0,5.0,3.0,Auburn,2741.0,6353.0,2024.0,26.0,317.0,47.3075061,-122.2726993,11,1.4545454545454546,1.9962476547842405,28.96
